order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,02-10-2017 10:56,02-10-2017 11:07,04-10-2017 19:55,10-10-2017 21:25,18-10-2017 00:00
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,24-07-2018 20:41,26-07-2018 03:24,26-07-2018 14:31,07-08-2018 15:27,13-08-2018 00:00
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,08-08-2018 08:38,08-08-2018 08:55,08-08-2018 13:50,17-08-2018 18:06,04-09-2018 00:00
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,18-11-2017 19:28,18-11-2017 19:45,22-11-2017 13:39,02-12-2017 00:28,15-12-2017 00:00
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,13-02-2018 21:18,13-02-2018 22:20,14-02-2018 19:46,16-02-2018 18:17,26-02-2018 00:00
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,09-07-2017 21:57,09-07-2017 22:10,11-07-2017 14:58,26-07-2017 10:57,01-08-2017 00:00
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,11-04-2017 12:22,13-04-2017 13:25,,,09-05-2017 00:00
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,16-05-2017 13:10,16-05-2017 13:22,22-05-2017 10:07,26-05-2017 12:55,07-06-2017 00:00
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,23-01-2017 18:29,25-01-2017 02:50,26-01-2017 14:16,02-02-2017 14:08,06-03-2017 00:00
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,delivered,29-07-2017 11:55,29-07-2017 12:05,10-08-2017 19:45,16-08-2017 17:14,23-08-2017 00:00
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,16-05-2017 19:41,16-05-2017 19:50,18-05-2017 11:40,29-05-2017 11:18,07-06-2017 00:00
34513ce0c4fab462a55830c0989c7edb,7711cf624183d843aafe81855097bc37,delivered,13-07-2017 19:58,13-07-2017 20:10,14-07-2017 18:43,19-07-2017 14:04,08-08-2017 00:00
82566a660a982b15fb86e904c8d32918,d3e3b74c766bc6214e0c830b17ee2341,delivered,07-06-2018 10:06,09-06-2018 03:13,11-06-2018 13:29,19-06-2018 12:05,18-07-2018 00:00
5ff96c15d0b717ac6ad1f3d77225a350,19402a48fe860416adf93348aba37740,delivered,25-07-2018 17:44,25-07-2018 17:55,26-07-2018 13:16,30-07-2018 15:52,08-08-2018 00:00
432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,delivered,01-03-2018 14:14,01-03-2018 15:10,02-03-2018 21:09,12-03-2018 23:36,21-03-2018 00:00
dcb36b511fcac050b97cd5c05de84dc3,3b6828a50ffe546942b7a473d70ac0fc,delivered,07-06-2018 19:03,12-06-2018 23:31,11-06-2018 14:54,21-06-2018 15:34,04-07-2018 00:00
403b97836b0c04a622354cf531062e5f,738b086814c6fcc74b8cc583f8516ee3,delivered,02-01-2018 19:00,02-01-2018 19:09,03-01-2018 18:19,20-01-2018 01:38,06-02-2018 00:00
